Provincias,ccaa_norm,p80p20_2017,p80p20_2018,p80p20_2019,p80p20_2020,p80p20_2021,p80p20_2022,p80p20_2023,p80p20_2024
Albacete,castilla - la mancha,2.8,2.7,2.6,2.6,2.6,2.5,2.5510204081632653,2.5
Alicante/Alacant,comunitat valenciana,3.0,2.8,2.9,2.9,2.8,2.8,3.015384615384615,3.069230769230769
Almería,andalucía,3.1,2.9,2.7,2.8,2.7,2.7,2.6550000000000002,2.475
Araba/Álava,país vasco,,,,2.6,2.6,2.7,2.7,2.5380000000000003
Asturias,"asturias, principado de",2.6,2.5,2.7,2.7,2.6,2.5,2.368421052631579,2.017543859649123
Badajoz,extremadura,2.5,2.6,2.5,2.6,2.4,2.3,2.3,2.3
"Balears, Illes","balears, illes",2.7,2.6,2.6,2.8,2.6,2.5,2.60204081632653,2.346938775510204
Barcelona,cataluña,2.7,2.9,2.7,2.7,2.7,2.7,2.5961538461538463,2.4403846153846156
Bizkaia,país vasco,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.632
Burgos,castilla y león,2.5,2.4,2.5,2.5,2.5,2.4,2.4979591836734687,2.4979591836734687
Cantabria,cantabria,2.6,2.6,2.5,2.5,2.5,2.5,2.346938775510204,2.3979591836734695
Castellón/Castelló,comunitat valenciana,2.5,2.7,2.6,2.6,2.5,2.5,2.692307692307692,2.7403846153846154
Ceuta,ceuta,5.0,4.8,4.6,4.4,4.2,4.2,3.6654545454545455,3.5890909090909093
Ciudad Real,castilla - la mancha,2.7,2.6,2.7,2.7,2.6,2.6,2.653061224489796,2.6000000000000005
"Coruña, A",galicia,2.5,2.6,2.5,2.5,2.4,2.4,2.3466666666666667,2.2399999999999998
Cuenca,castilla - la mancha,2.7,2.6,2.4,2.5,2.5,2.6,2.653061224489796,2.6000000000000005
Cáceres,extremadura,2.6,2.7,2.6,2.7,2.5,2.5,2.5,2.5
Cádiz,andalucía,3.0,2.8,2.7,2.7,2.8,2.7,2.6550000000000002,2.475
Córdoba,andalucía,2.6,2.5,2.6,2.7,2.5,2.5,2.4583333333333335,2.2916666666666665
Gipuzkoa,país vasco,2.6,2.5,2.5,2.5,2.4,2.5,2.5,2.35
Girona,cataluña,2.8,2.7,2.8,2.9,2.7,2.7,2.5961538461538463,2.4403846153846156
Granada,andalucía,3.0,2.9,3.0,3.0,2.9,2.8,2.7533333333333334,2.5666666666666664
Guadalajara,castilla - la mancha,2.8,2.6,2.5,2.6,2.5,2.5,2.5510204081632653,2.5
Huelva,andalucía,2.5,2.7,2.6,2.6,2.4,2.4,2.36,2.1999999999999997
Huesca,aragón,2.6,2.5,2.4,2.4,2.6,2.5,2.443181818181818,2.5
Jaén,andalucía,2.5,2.6,2.5,2.6,2.4,2.5,2.4583333333333335,2.2916666666666665
León,castilla y león,2.7,2.6,2.5,2.5,2.4,2.6,2.7061224489795914,2.7061224489795914
Lleida,cataluña,2.8,2.7,2.8,2.7,2.7,2.6,2.5,2.35
Lugo,galicia,2.4,2.4,2.5,2.5,2.5,2.4,2.3466666666666667,2.2399999999999998
Madrid,"madrid, comunidad de",3.2,3.1,2.9,3.1,3.1,3.1,2.882456140350877,2.9912280701754383
Melilla,melilla,5.0,4.7,4.6,4.4,4.1,4.2,3.8951612903225805,3.5903225806451613
Murcia,"murcia, región de",2.8,2.7,2.7,2.6,2.7,2.6,2.25,2.55
Málaga,andalucía,3.1,2.9,2.7,3.0,2.9,2.8,2.7533333333333334,2.5666666666666664
Navarra,"navarra, comunidad foral de",,,,,2.6,2.6,2.648148148148148,2.648148148148148
Ourense,galicia,2.7,2.5,2.5,2.5,2.6,2.5,2.4444444444444446,2.3333333333333335
Palencia,castilla y león,2.5,2.5,2.4,2.5,2.4,2.4,2.4979591836734687,2.4979591836734687
"Palmas, Las",canarias,3.0,2.8,2.7,2.9,2.8,2.6,2.1873015873015875,2.3523809523809525
Pontevedra,galicia,2.5,2.4,2.5,2.6,2.5,2.4,2.3466666666666667,2.2399999999999998
"Rioja, La","rioja, la",2.8,2.6,2.5,2.7,2.6,2.6,2.4916666666666667,2.6
Salamanca,castilla y león,2.6,2.7,2.6,2.6,2.5,2.7,2.810204081632653,2.810204081632653
Santa Cruz de Tenerife,canarias,2.8,3.0,2.8,2.8,2.9,2.7,2.271428571428572,2.442857142857143
Segovia,castilla y león,2.6,2.6,2.5,2.5,2.4,2.6,2.7061224489795914,2.7061224489795914
Sevilla,andalucía,2.8,2.9,2.8,2.8,2.7,2.6,2.556666666666667,2.3833333333333337
Soria,castilla y león,2.6,2.5,2.4,2.5,2.4,2.5,2.60204081632653,2.60204081632653
Tarragona,cataluña,2.8,2.8,2.8,2.8,2.7,2.8,2.692307692307692,2.5307692307692307
Teruel,aragón,2.7,2.6,2.5,2.5,2.4,2.6,2.5409090909090906,2.5999999999999996
Toledo,castilla - la mancha,2.7,2.7,2.7,2.7,2.6,2.6,2.653061224489796,2.6000000000000005
Valencia/València,comunitat valenciana,2.8,2.8,2.6,2.7,2.6,2.7,2.9076923076923076,2.9596153846153848
Valladolid,castilla y león,2.6,2.5,2.5,2.5,2.4,2.5,2.60204081632653,2.60204081632653
Zamora,castilla y león,2.6,2.4,2.4,2.4,2.5,2.5,2.60204081632653,2.60204081632653
Zaragoza,aragón,2.7,2.6,2.5,2.5,2.4,2.5,2.443181818181818,2.5
Ávila,castilla y león,2.8,2.7,2.6,2.7,2.6,2.7,2.810204081632653,2.810204081632653
